epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20644,1.87735,1.77581,1.69155,0.62617,0.6083,0.59169,0.22753,2.16236,1.72518,2.00436,0.00038191,0.00038191,0.00038191
43,21132.7,1.87329,1.69798,1.67681,0.65996,0.56611,0.58581,0.22453,2.15567,1.73482,1.9909,0.000369054,0.000369054,0.000369054
44,21622.7,1.87506,1.71786,1.67462,0.65172,0.55663,0.57111,0.21274,2.18237,1.77057,1.99327,0.000356198,0.000356198,0.000356198
45,22115.1,1.83604,1.69734,1.65301,0.65747,0.5772,0.60566,0.22675,2.169,1.73117,2.00847,0.000343342,0.000343342,0.000343342
46,22603.6,1.83044,1.6929,1.65867,0.71335,0.57157,0.62086,0.23631,2.14269,1.65833,1.98506,0.000330486,0.000330486,0.000330486
47,23091.2,1.8357,1.65359,1.65619,0.67577,0.58099,0.60709,0.23716,2.13605,1.66277,1.98334,0.000317631,0.000317631,0.000317631
48,23579,1.82101,1.61511,1.63742,0.6871,0.55927,0.61532,0.23556,2.16805,1.63898,1.97791,0.000304775,0.000304775,0.000304775
49,24066,1.80928,1.62847,1.64753,0.61188,0.62523,0.61228,0.23477,2.15002,1.66466,1.97092,0.000291919,0.000291919,0.000291919
50,24554.3,1.78904,1.5776,1.61358,0.69636,0.59409,0.63543,0.2493,2.13729,1.58681,1.99464,0.000279063,0.000279063,0.000279063
51,25043.6,1.76224,1.56796,1.624,0.67821,0.62372,0.6264,0.24688,2.15751,1.59326,1.99229,0.000266207,0.000266207,0.000266207
52,25533.8,1.78401,1.58284,1.61644,0.73115,0.62794,0.66756,0.25703,2.14643,1.5379,1.96826,0.000253351,0.000253351,0.000253351
53,26026.4,1.77827,1.58,1.63763,0.69291,0.60831,0.65144,0.25754,2.13105,1.57509,1.98524,0.000240495,0.000240495,0.000240495
54,26515.9,1.77952,1.55516,1.60689,0.72475,0.58764,0.63691,0.24503,2.12682,1.60902,1.96182,0.00022764,0.00022764,0.00022764
55,27005.2,1.74071,1.52169,1.59951,0.75463,0.59344,0.66666,0.25348,2.15509,1.55343,1.98801,0.000214784,0.000214784,0.000214784
56,27494.9,1.76036,1.48377,1.60195,0.71709,0.64122,0.67672,0.25779,2.14228,1.55838,1.98082,0.000201928,0.000201928,0.000201928
57,27985.1,1.72819,1.50264,1.58751,0.69441,0.62698,0.65181,0.25104,2.17126,1.54883,2.00342,0.000189072,0.000189072,0.000189072
58,28471.7,1.70895,1.48675,1.5693,0.72481,0.65063,0.68418,0.26477,2.13667,1.47265,1.97314,0.000176216,0.000176216,0.000176216
59,28963.2,1.70664,1.44035,1.54679,0.75082,0.6437,0.68806,0.26476,2.13878,1.48189,1.97453,0.00016336,0.00016336,0.00016336
60,29455.2,1.71405,1.44922,1.56558,0.68892,0.67278,0.68267,0.26693,2.13535,1.49084,1.97015,0.000150504,0.000150504,0.000150504
61,29941.5,1.69389,1.38145,1.64631,0.69266,0.65948,0.66904,0.25302,2.15209,1.49952,1.97086,0.000137649,0.000137649,0.000137649
62,30439.7,1.62829,1.26161,1.59351,0.74802,0.64923,0.67409,0.26302,2.14601,1.45871,1.96858,0.000124793,0.000124793,0.000124793
63,30961.1,1.65014,1.25631,1.61437,0.69653,0.68515,0.6883,0.26648,2.15319,1.41817,1.9777,0.000111937,0.000111937,0.000111937
64,31494.9,1.65123,1.21885,1.60489,0.7584,0.65831,0.70301,0.26849,2.14117,1.42691,1.96767,9.9081e-05,9.9081e-05,9.9081e-05
65,31997.7,1.61618,1.19907,1.58572,0.73104,0.69841,0.71989,0.28457,2.12918,1.41066,1.952,8.62251e-05,8.62251e-05,8.62251e-05
66,32506.6,1.60709,1.18972,1.57216,0.76962,0.68866,0.72172,0.28274,2.1303,1.41048,1.96085,7.33693e-05,7.33693e-05,7.33693e-05
67,33005.2,1.61108,1.2036,1.57908,0.74903,0.68847,0.72355,0.28121,2.13499,1.40896,1.96036,6.05134e-05,6.05134e-05,6.05134e-05
68,33494.7,1.59488,1.19326,1.58089,0.72078,0.68544,0.71174,0.27902,2.13453,1.39831,1.96049,4.76576e-05,4.76576e-05,4.76576e-05
69,33983.1,1.59462,1.15366,1.57424,0.74355,0.6894,0.71692,0.28447,2.13322,1.38003,1.96405,3.48017e-05,3.48017e-05,3.48017e-05
70,34469.7,1.5849,1.18272,1.57121,0.7289,0.70542,0.71087,0.28326,2.13615,1.3878,1.9674,2.19459e-05,2.19459e-05,2.19459e-05
