epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,628.572,2.66062,5.74498,2.28202,0.78085,0.00864,0.00685,0.002,2.58505,5.81399,2.30245,0.00022101,0.00022101,0.00022101
2,1317.21,2.52152,5.00813,2.11093,0.53706,0.01615,0.01334,0.00408,2.56514,5.30358,2.18177,0.000434565,0.000434565,0.000434565
3,1966.96,2.5069,4.69259,2.04883,0.39949,0.07056,0.01584,0.00489,2.49326,5.09865,2.18482,0.000639316,0.000639316,0.000639316
4,2507.3,2.45139,4.41055,2.08993,0.23436,0.09146,0.0482,0.0133,2.40791,4.83437,2.15726,0.00062738,0.00062738,0.00062738
5,3051.05,2.42321,4.08618,2.03207,0.29093,0.11629,0.05129,0.01785,2.36858,4.43393,2.09238,0.000614174,0.000614174,0.000614174
6,3592.76,2.35316,3.85441,2.01376,0.16841,0.11227,0.04985,0.0166,2.36121,4.04473,2.07956,0.000600967,0.000600967,0.000600967
7,4130.5,2.33049,3.72225,1.98487,0.23744,0.12718,0.09572,0.03503,2.30001,3.69728,2.09128,0.00058776,0.00058776,0.00058776
8,4672.44,2.29163,3.53558,1.97999,0.57495,0.10048,0.09363,0.0343,2.27078,3.7505,2.07984,0.000574554,0.000574554,0.000574554
9,5234.78,2.28298,3.40029,1.94335,0.4159,0.11318,0.1043,0.03896,2.25908,3.39567,2.05102,0.000561347,0.000561347,0.000561347
10,5777.45,2.23175,3.25236,1.91149,0.24692,0.17107,0.11516,0.04322,2.23441,3.24136,1.98219,0.000548141,0.000548141,0.000548141
11,6315.71,2.1959,3.13097,1.90685,0.28954,0.16871,0.14023,0.04674,2.25845,3.29812,2.09764,0.000534934,0.000534934,0.000534934
12,6852.48,2.16265,3.04145,1.90085,0.41858,0.16875,0.13596,0.04605,2.30224,3.12795,2.04802,0.000521727,0.000521727,0.000521727
13,7395.86,2.15798,2.96421,1.8791,0.2681,0.21722,0.16371,0.05746,2.2752,2.97621,2.03703,0.000508521,0.000508521,0.000508521
14,7935.47,2.1861,2.85653,1.86589,0.46995,0.2058,0.20824,0.07794,2.19955,2.7381,2.01494,0.000495314,0.000495314,0.000495314
15,8481.61,2.1487,2.82539,1.87731,0.38826,0.21784,0.19611,0.07094,2.21586,2.87668,2.02085,0.000482108,0.000482108,0.000482108
16,9027.84,2.1228,2.79522,1.864,0.45973,0.23194,0.22148,0.08106,2.18182,2.66227,2.04381,0.000468901,0.000468901,0.000468901
17,9564.39,2.10139,2.74865,1.83135,0.30279,0.28374,0.23277,0.09297,2.20771,2.71997,1.99413,0.000455694,0.000455694,0.000455694
18,10102.3,2.06915,2.62063,1.82671,0.36394,0.26035,0.2274,0.08411,2.16928,2.63919,2.03677,0.000442488,0.000442488,0.000442488
19,10643.1,2.09492,2.571,1.82434,0.28945,0.31471,0.2727,0.09698,2.20965,2.64313,1.99422,0.000429281,0.000429281,0.000429281
20,11177,2.04481,2.52895,1.80635,0.38312,0.25999,0.25883,0.0891,2.22863,2.45041,2.04238,0.000416075,0.000416075,0.000416075
21,11708.1,2.02691,2.45407,1.7998,0.29881,0.31598,0.26486,0.0977,2.17941,2.4856,2.01064,0.000402868,0.000402868,0.000402868
22,12254.5,1.98692,2.34339,1.76341,0.3142,0.2734,0.26939,0.10132,2.2058,2.51252,2.01371,0.000389661,0.000389661,0.000389661
23,12789.2,2.01847,2.35914,1.76159,0.32958,0.28194,0.29306,0.1106,2.20056,2.34701,2.01947,0.000376455,0.000376455,0.000376455
24,13326.4,1.9922,2.29312,1.77404,0.36441,0.36236,0.32377,0.12136,2.17425,2.28018,2.02729,0.000363248,0.000363248,0.000363248
25,13864.9,1.96134,2.22703,1.75009,0.38272,0.32603,0.30471,0.11915,2.15381,2.33102,1.99711,0.000350042,0.000350042,0.000350042
26,14404.4,1.96747,2.18769,1.74024,0.4065,0.34962,0.32806,0.11903,2.1751,2.1967,2.00573,0.000336835,0.000336835,0.000336835
27,14950.5,1.93117,2.08329,1.73221,0.34095,0.38975,0.33848,0.12147,2.16547,2.21302,1.98567,0.000323628,0.000323628,0.000323628
28,15516.3,1.9335,2.13097,1.71006,0.34514,0.35171,0.348,0.13097,2.13874,2.19952,1.95212,0.000310422,0.000310422,0.000310422
29,16067.6,1.9135,2.04068,1.70186,0.41792,0.37244,0.36259,0.12857,2.14393,2.12695,1.98037,0.000297215,0.000297215,0.000297215
30,16614,1.93638,2.02641,1.72303,0.41724,0.39479,0.36715,0.13227,2.17349,2.08383,1.99292,0.000284009,0.000284009,0.000284009
