epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,17148.9,1.90595,1.9745,1.70253,0.35513,0.40969,0.39228,0.14926,2.16061,2.04533,1.95373,0.000270802,0.000270802,0.000270802
32,17687.8,1.88539,1.97685,1.67689,0.45834,0.36529,0.40014,0.15369,2.14019,1.97495,1.98456,0.000257595,0.000257595,0.000257595
33,18221.7,1.8606,1.89153,1.67108,0.55803,0.35644,0.39119,0.1422,2.18038,2.0068,1.98834,0.000244389,0.000244389,0.000244389
34,18786.9,1.86439,1.86574,1.66913,0.47726,0.42071,0.41986,0.15289,2.15191,1.95639,1.97754,0.000231182,0.000231182,0.000231182
35,19363.6,1.85775,1.83866,1.66535,0.4329,0.46156,0.43998,0.16646,2.16286,1.88204,1.97413,0.000217976,0.000217976,0.000217976
36,19914.2,1.84133,1.82606,1.66352,0.53103,0.37738,0.4196,0.15324,2.16607,1.8681,1.97154,0.000204769,0.000204769,0.000204769
37,20448.2,1.82687,1.78948,1.65131,0.55461,0.41162,0.4528,0.1716,2.15131,1.85131,1.96094,0.000191562,0.000191562,0.000191562
38,20989.9,1.81031,1.77498,1.6374,0.58667,0.41738,0.44567,0.16654,2.14742,1.80757,1.97687,0.000178356,0.000178356,0.000178356
39,21529.2,1.79863,1.72417,1.62814,0.49463,0.45187,0.44755,0.16848,2.15546,1.82617,1.95203,0.000165149,0.000165149,0.000165149
40,22073.2,1.78613,1.72396,1.61327,0.4672,0.45834,0.44539,0.16663,2.15634,1.82388,1.98822,0.000151943,0.000151943,0.000151943
41,22603.8,1.83082,1.65178,1.73296,0.51,0.45076,0.45161,0.17279,2.15834,1.84375,1.96489,0.000138736,0.000138736,0.000138736
42,23161.3,1.75605,1.58689,1.68204,0.54352,0.46068,0.47383,0.18155,2.15738,1.76739,1.98562,0.000125529,0.000125529,0.000125529
43,23701.2,1.73616,1.51575,1.66722,0.54764,0.48437,0.49564,0.18236,2.15654,1.74175,1.98662,0.000112323,0.000112323,0.000112323
44,24244,1.71457,1.50436,1.66568,0.56427,0.48465,0.50052,0.18742,2.14256,1.70135,1.96563,9.91162e-05,9.91162e-05,9.91162e-05
45,24779.7,1.71125,1.48678,1.66997,0.55996,0.49004,0.50417,0.19068,2.12979,1.69137,1.96036,8.59096e-05,8.59096e-05,8.59096e-05
46,25318.8,1.69799,1.47575,1.64715,0.568,0.47993,0.49884,0.18437,2.14257,1.67437,1.9613,7.2703e-05,7.2703e-05,7.2703e-05
47,25859.1,1.68472,1.44195,1.63738,0.56548,0.49187,0.51015,0.18703,2.13325,1.66597,1.96683,5.94964e-05,5.94964e-05,5.94964e-05
48,26398.2,1.66457,1.39141,1.61732,0.64146,0.48997,0.51368,0.19115,2.1371,1.66896,1.97493,4.62898e-05,4.62898e-05,4.62898e-05
49,26943.1,1.68349,1.39626,1.61651,0.58668,0.4631,0.5083,0.18763,2.1406,1.66536,1.96924,3.30832e-05,3.30832e-05,3.30832e-05
50,27484.3,1.65727,1.40651,1.60009,0.68722,0.47732,0.5036,0.19312,2.13578,1.65274,1.97356,1.98766e-05,1.98766e-05,1.98766e-05
